,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1976.0,74.0,24.0,0.0,124.0
1,1933.0,149.0,67.0,1.0,273.0
2,1869.0,281.0,131.0,2.0,554.0
3,1729.0,454.0,271.0,3.0,1008.0
4,1503.0,601.0,497.0,4.0,1609.0
5,1198.0,586.0,802.0,5.0,2195.0
6,914.0,474.0,1086.0,6.0,2669.0
7,682.0,378.0,1318.0,7.0,3047.0
8,493.0,273.0,1507.0,8.0,3320.0
9,343.0,192.0,1657.0,9.0,3512.0
10,236.0,127.0,1764.0,10.0,3639.0
11,174.0,85.0,1826.0,11.0,3724.0
12,135.0,65.0,1865.0,12.0,3789.0
13,101.0,46.0,1899.0,13.0,3835.0
14,74.0,31.0,1926.0,14.0,3866.0
15,57.0,19.0,1943.0,15.0,3885.0
16,46.0,14.0,1954.0,16.0,3899.0
17,42.0,8.0,1958.0,17.0,3907.0
18,38.0,10.0,1962.0,18.0,3917.0
19,31.0,4.0,1969.0,19.0,3921.0
20,31.0,4.0,1969.0,20.0,3921.0
